sample_ID,date_of_collection,sex,TL_cm,fultons_K,HSI,color,sampling_region,sampling_location,lat,long,depth_ft,date_of_dissection,dissector_initials,CHONAR,LEPPRA,LEPBRE,CHALIM,LIRVUL,GNASPP,UDOADU,DERVAR,RHIELO,PROAPE,LECGIB,BUCEP1,BUCEP2,PODTHE,METACE,TRYSPP,CUCELO,THYADU,NEMLAR,HYSMAG,NEMWHI,CORWEG,CORCET,ACANT1,ACANT2
HL1799,4/20/17,F,71,0.945290868,0.966511985,BL,Puget Sound,S.Lopez,48.41392,-122.83656,150,NA,KL,1,8,9,28,0,0,0,0,49,0,2,0,0,0,54,0,0,0,4,0,0,0,6,0,0
HL1792,4/27/17,F,105,1.120699708,1.405942884,BR,Puget Sound,Possession,47.89266436,-122.4244845,53,NA,KL,0,5,48,12,0,0,9,0,6,0,9,0,0,0,26,0,0,0,1,0,0,843,0,0,1
HL1965,5/20/17,M,44,0.855794515,1.056241427,BR,Alaska,Sitka,57.334517,-135.680533,65,NA,KL,0,2,0,0,0,0,1,0,24,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0
HL1971,5/19/17,M,73.8,1.071857007,1.139660655,BR,Alaska,Sitka,56.87371,-135.58374,115,NA,KL,0,3,0,4,0,0,0,0,17,0,0,0,0,0,10,3,0,0,4,0,0,8,5,0,0
HL1790,4/21/17,F,88,1.143656673,1.386761102,BR,Puget Sound,Point Lawrence,48.67490329,-122.7392401,237,NA,KL,0,6,11,0,0,0,0,0,65,0,1,0,0,0,1425,0,3,0,2,0,0,106,0,0,0
HL1973,5/19/17,M,80.1,1.179944674,1.406662269,BR,Alaska,Sitka,57.03082,-135.48201,130,NA,KL,0,5,0,0,0,0,0,0,7,0,1,0,0,0,1234,24,9,8,3,0,0,0,27,0,0
HL1978,5/23/17,M,90.4,1.208776943,0,BR,Alaska,N. of Bird Sanctuary Island,57.0518,-135.55396,108,NA,KL,0,1,0,0,0,0,0,0,25,6,0,0,0,0,790,12,4,660,6,0,0,0,76,0,0
HL1995,5/25/17,F,85,0.931341339,1.183649206,BR,Alaska,NEARSHORE (rock pilings outside harbor),59.53639,-139.88428,50,NA,KL,0,7,4,2,0,0,0,0,1,15,3,0,0,1,368,33,0,0,1,0,0,0,147,0,2
HL1896,5/15/17,M,62,1.053757846,0.895914629,BR,Alaska,WOLF ROCKS,55.02469,-133.48711,149,NA,KL,0,3,4,14,0,0,0,0,3,0,12,1,0,0,250,0,0,0,1,0,0,0,29,0,0
HL1966,5/20/17,M,45,0.691358025,1.079365079,BR,Alaska,Sitka,57.334517,-135.680533,25,NA,KL,0,0,2,8,0,0,0,0,3,19,0,0,0,0,4,0,0,0,2,0,0,0,3,0,0
HL1891,5/15/17,M,68.2,1.088632222,0.917962529,BR,Alaska,WOLF ROCKS,55.02483,-133.48627,127,NA,KL,0,5,27,13,0,0,0,0,7,16,0,0,0,0,154,3,0,2,12,0,0,0,21,0,0
HL1897,5/15/17,M,47.5,0.811780143,0.689655172,BR,Alaska,WOLF ROCKS,55.02478,-133.4888,151,NA,KL,0,5,2,0,0,0,0,0,2,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0
HL1829,4/9/17,M,64,1.071891785,0.597886046,BR,Puget Sound,NORTH BEACH,48.1501,-122.7728,45,NA,KL,0,9,11,0,0,0,3,0,3,39,0,0,0,0,71,0,1,0,0,0,0,0,51,0,0
HL1824,4/9/17,F,45,2.962962963,0.148148148,BL,Puget Sound,NORTH BEACH,48.1524,-122.77216,45,NA,KL,0,5,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,1,0,0
HL1830,4/9/17,M,44.3,0.690144564,0.583333333,BR,Puget Sound,NORTH BEACH,48.14941,-122.7731,45,NA,KL,0,23,5,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
HL1866,5/14/17,M,72.4,1.014720753,0.786829053,BR,Alaska,BETA ROCK,55.64136,-133.67526,105,NA,KL,0,2,10,0,0,0,0,0,5,1,19,0,0,0,476,0,6,0,2,0,0,0,79,0,0
HL1807,4/28/17,F,70,0.812594752,0.731917336,BR,Puget Sound,Keystone,48.13795,-122.678017,150,NA,KL,0,9,31,2,0,0,0,0,5,0,1,0,0,0,83,0,0,0,0,0,0,2,33,0,0
HL1970,5/20/17,F,95,0.760460709,1.476993865,BR,Alaska,Sitka,57.30153,-135.95176,170,NA,KL,0,1,6,278,0,0,0,0,1,5,0,0,0,1,16,15,5,15,1,0,1,0,19,0,0
HL1797,4/28/17,F,46,0.819326868,1.028213166,BR,Puget Sound,Keystone,48.136533,-122.676617,151,NA,KL,0,3,0,2,0,0,0,1,11,0,1,0,0,0,0,0,1,0,0,0,0,0,8,0,0
HL1862,4/9/17,M,45.4,0.844227574,0.594936709,BR,Puget Sound,NORTH BEACH,48.1514,-122.77223,45,NA,KL,0,0,6,2,0,0,0,0,5,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
HL1859,4/9/17,M,39.5,1.054521042,0.492383444,BL,Puget Sound,NORTH BEACH,48.1524,-122.77216,35,NA,KL,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0
HL1861,4/10/17,F,47,0.895755276,0.47311828,BL,Puget Sound,Point Wilson,48.15145,-122.77407,35,NA,KL,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HL1988,5/25/17,M,67,0.938147312,0.914374823,BR,Alaska,NEARSHORE (rock pilings outside harbor),59.54475,-139.92363,45,NA,KL,0,0,4,2,0,0,0,0,0,2,1,0,0,0,14,31,0,0,1,0,0,0,27,0,0
HL1832,4/6/17,M,57,0.982056557,0.599329191,BR,Puget Sound,WAWA POINT,47.73808,-122.85149,95,NA,KL,0,16,27,50,0,0,0,0,1,0,0,0,0,0,25,0,1,0,1,0,0,0,35,0,0
HL1990,5/25/17,M,54.7,0.769732147,0.94459438,BL,Alaska,NEARSHORE (rock pilings outside harbor),59.54468,-139.92422,44,NA,KL,0,2,0,5,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0,3,0,0
HL1860,4/10/17,F,48,0.913266782,0.683168317,BR,Puget Sound,Admiralty Inlet,48.13772,-122.66933,124,NA,KL,0,1,0,2,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
HL1992,5/25/17,M,64.5,0.933903327,0.865921788,BR,Alaska,NEARSHORE (rock pilings outside harbor),59.531833,-139.869483,46,NA,KL,0,12,1,2,0,0,0,0,0,41,1,0,0,0,28,10,0,0,0,0,1,0,25,0,0
HL1964,5/20/17,M,46,0.789841374,1.235691988,BR,Alaska,Sitka,57.334517,-135.680533,60,NA,KL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
HL1987,5/25/17,M,65.3,1.015647942,0.682455868,BR,Alaska,NEARSHORE (rock pilings outside harbor),59.54475,-139.92362,45,NA,kl,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,2,0,0
HL1977,5/22/17,M,45,0.854540466,2.568383203,BR,Alaska,Inner point of Sitka Sound,57.01613,-135.55612,160,NA,KL,0,8,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HL1828,4/9/17,M,45.2,0.97113654,0.758251561,BR,Puget Sound,NORTH BEACH,48.15173,-122.77238,45,NA,KL,0,8,3,0,0,0,0,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HL1842,4/11/17,F,73,1.155656437,0.498253887,BR,Puget Sound,Keystone,48.13510621,-122.6728997,150,NA,KL,0,2,0,0,0,0,0,0,1616,0,0,0,0,0,21,0,0,0,1,0,0,0,4,0,0
HL1803,4/20/17,F,52,0.852298589,0.767690254,BR,Puget Sound,S.Lopez,48.42164,-122.85034,30,NA,KL,0,13,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0
HL1770,1/27/17,M,63.6,1.068959735,1.069090909,BR,Southern California,SAN NICHOLAS ISLAND.CCA,33.31989,-119.47824,168,NA,KL and AG,0,0,87,26,0,0,0,0,10,0,4,0,0,0,552,1,70,0,4,0,0,0,10,0,0
HL1991,5/25/17,F,59.5,1.618838341,0.395894428,BL,Alaska,NEARSHORE (rock pilings outside harbor),59.53626,-139.8826,44,NA,KL,0,4,2,0,0,0,0,0,0,0,1,0,0,0,20,1,0,0,2,0,0,0,1,0,0
HL1805,4/21/17,F,68,0.954101364,1.24,BR,Puget Sound,Shoreline,48.56218,-122.7698,150,NA,AG,0,0,6,0,0,0,0,0,41,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0
HL1831,3/24/17,F,86,1.131378369,0.937995053,BL,Puget Sound,Toliva Shoal,47.20115,-122.607143,50,NA,AG,0,2,0,0,0,0,0,0,25,0,1,0,0,0,274,0,0,1,4,0,0,0,12,0,0
HL1963,5/20/17,M,79,0.998927063,0.893382875,BR,Alaska,Sitka,57.21071,-135.40832,150,NA,AG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,2,0,2,0,0,0,0,4,0,0
HL1932,5/16/17,M,65,0.919763314,0.922443485,BR,Alaska,DALL ISLAND,55.18418,-133.41017,160,NA,AG,1,0,2,0,0,0,0,0,6,0,3,0,0,0,81,0,0,2,12,0,0,0,7,0,0
HL1869,5/14/17,M,68.6,1.066075704,1.04893073,BR,Alaska,BETA ROCK,55.64827,-133.68594,120,NA,AG,0,1,1,0,0,0,0,0,0,0,3,0,0,0,41,0,0,0,1,0,0,0,69,0,0
HL1808,4/27/17,M,47,0.770542173,1.1,BR,Puget Sound,Keystone,48.1376846,-122.67541,102,NA,AG,0,0,5,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0
HL1796,4/20/17,M,60,1.01787037,0.659510598,BR,Puget Sound,Eagle Point,48.4697,-123.06705,90,NA,AG,0,0,0,0,0,0,0,0,2,0,2,0,0,0,26,0,0,0,0,0,0,0,2,0,0
HL1847,4/11/17,M,56,1.081905977,0.663157895,BR,Puget Sound,Klas Rock,47.9579321,-122.6742,84,NA,AG,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
HL1843,4/6/17,M,73,1.120799348,1.018325268,BR,Puget Sound,WAWA POINT,47.7246,-122.87496,68,NA,AG,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,2,0,244,0,0
HL1924,5/15/17,F,91.8,1.080464979,0.715422255,BR,Alaska,WOLF ROCKS,55.00404,-133.49913,160,NA,AG,0,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,1,1,0,0,0,0,27,0,0
HL1795,4/20/17,M,59,0.99805725,0.897648551,BR,Puget Sound,Cattle Passage,48.13532,-122.67279,200,NA,AG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0
